Product,Kcal,Protein_g,Fat_g
WHEAT,334.0,12.2,2.3
FLOUR OF WHEAT,364.0,10.9,1.1
BRAN OF WHEAT,213.0,12.1,3.1
MACARONI,367.0,11.0,1.1
GERM OF WHEAT,382.0,29.1,10.7
BREAD,249.0,8.2,1.2
BULGUR WHOLEMEAL,345.0,12.3,2.0
PASTRY,369.0,7.4,17.0
WHEAT STARCH,362.0,0.5,0.3
WHEAT GLUTEN,380.0,95.0,0.0
RICE PADDY,280.0,6.0,1.4
RICE HUSKED,357.0,7.5,1.8
RICE MILLED,360.0,6.7,0.7
RICE BROKEN,360.0,6.7,0.7
RICE FLOUR,366.0,6.4,0.8
RICE GLUTEN,380.0,95.0,0.0
RICE STARCH,362.0,0.5,0.3
BRAN OF RICE,276.0,13.3,15.8
BARLEY,332.0,11.0,1.8
POT BARLEY,348.0,9.6,1.1
BARLEY PEARLED,346.0,9.0,1.4
BARLEY FLOUR AND GRITS,343.0,9.2,1.7
MALT OF BARLEY,368.0,13.1,1.9
MALT EXTRACTS,367.0,6.0,0.0
MAIZE,356.0,9.5,4.3
GERM OF MAIZE,373.0,11.1,38.5
FLOUR OF MAIZE,363.0,8.4,1.2
MAIZE GLUTEN,380.0,95.0,0.0
STARCH OF MAIZE,362.0,0.5,0.3
POP CORN,356.0,9.5,4.3
RYE,319.0,11.0,1.9
FLOUR OF RYE,341.0,9.0,1.8
OATS,385.0,13.0,7.5
OATS ROLLED,384.0,16.0,6.3
MILLET,340.0,9.7,3.0
FLOUR OF MILLET,340.0,9.7,3.0
SORGHUM,343.0,10.1,3.3
FLOUR OF SORGHM,343.0,10.1,3.3
BUCKWHEAT,330.0,11.0,2.0
FLOUR OF BUCKWHEAT,344.0,6.4,1.2
QUINOA,342.0,12.0,5.0
FONIO,338.0,8.0,3.0
FLOUR OF FONIO,355.0,9.0,2.2
TRITICALE,327.0,11.6,2.1
FLOUR OF TRITICALE,341.0,11.4,2.1
CANARY SEED,388.0,16.0,6.0
MIXED GRAIN,340.0,8.0,1.5
FLOUR OF MIXED GRAIN,364.0,10.0,1.1
CEREALS NES,340.0,8.0,1.5
WAFERS,439.0,9.2,13.1
FLOUR OF CEREALS,364.0,10.0,1.1
BREAKFAST CEREALS,389.0,7.4,0.7
CEREALS PREPARED NES,364.0,10.0,1.1
MIXES AND DOUGHS,393.0,6.2,12.0
FOOD PREPARATIONS FLOUR,377.0,7.5,2.7
POTATOES,67.0,1.6,0.1
FLOUR OF POTATOES,349.0,8.5,0.4
POTATOES FROZEN,73.0,1.2,0.0
POTATO STARCH,362.0,0.5,0.3
POTATO TAPIOCA,362.0,0.5,0.3
SWEET POTATOES,92.0,0.7,0.2
CASSAVA,109.0,0.9,0.2
FLOUR OF CASSAVA,338.0,1.5,0.6
CASSAVA TAPIOCA,362.0,0.5,0.3
CASSAVA DRIED,255.0,2.8,0.7
CASSAVA STARCH,362.0,0.5,0.3
YAUTIA (COCOYAM),109.0,1.7,0.3
TARO (COCOYAM),86.0,1.5,0.2
YAMS,101.0,1.3,0.2
"ROOTS, TUBERS NES",91.0,1.6,0.2
FLOUR OF ROOTS AND TUBERS,282.0,5.0,0.6
"ROOTS, TUBERS DRIED",282.0,5.0,0.6
SUGAR CANE,30.0,0.2,0.0
SUGAR BEETS,70.0,1.3,0.1
SUGAR CROPS NES,390.0,0.0,0.0
"SUGAR, CENTRIFUGAL RAW",373.0,0.0,0.0
SUGAR REFINED,387.0,0.0,0.0
MAPLE SUGAR,348.0,0.0,0.0
SUGAR AND SYRUP NES,310.0,0.0,0.0
SUGAR CONFECTIONERY,310.0,0.0,0.0
SUGARS FLAVOURED,310.0,0.0,0.0
GLUCOSE AND DEXTROSE,368.0,0.0,0.0
LACTOSE,387.0,0.0,0.0
ISOGLUCOSE,318.0,0.0,0.0
FRUCTOSE CHEMICAL,375.0,0.0,0.0
OTHER FRUCTOSE,298.0,0.3,0.0
MALTOSE CHEMICAL,375.0,0.0,0.0
HONEY,298.0,0.4,0.0
"BEANS, DRY",341.0,22.1,1.7
BROAD BEANS DRY,343.0,23.4,2.0
"PEAS, DRY",346.0,22.5,1.8
CHICK-PEAS,358.0,20.1,4.5
COW PEAS DRY,342.0,23.4,1.8
PIGEON PEAS,343.0,20.9,1.7
LENTILS,346.0,24.2,1.8
BAMBARA BEANS,365.0,17.7,6.3
VETCHES,325.0,31.5,1.9
LUPINS,390.0,40.0,13.0
PULSES NES,340.0,22.0,2.0
FLOUR OF PULSES,340.0,22.0,2.0
BRAZIL NUTS,315.0,6.9,31.8
CASHEW NUTS,252.0,7.7,20.6
CHESTNUTS,158.0,1.8,1.7
ALMONDS,236.0,8.0,20.9
WALNUTS,289.0,6.4,27.8
PISTACHIOS,289.0,10.3,24.2
KOLANUTS,349.0,9.0,2.0
HAZELNUTS,291.0,6.0,28.8
ARECANUTS,245.0,4.9,4.4
BRAZILNUT SHELLED,656.0,14.3,66.2
CASHEW NUTS SHELLED,574.0,15.3,46.4
ALMONDS SHELLED,589.0,20.0,52.2
WALNUTS SHELLED,642.0,14.3,61.9
HAZELNUTS SHELLED,632.0,13.0,62.6
NUTS NES,262.0,7.0,25.0
PREPARED NUTS,615.0,15.5,56.2
SOYBEANS,335.0,38.0,18.0
SOYA PASTE,114.0,11.0,5.8
SOYA CURD,58.0,6.3,3.1
GROUNDNUTS IN SHELL,414.0,18.7,35.9
GROUNDNUTS SHELLED,567.0,25.7,49.2
CAKE OF GROUNDNUTS,363.0,41.7,7.6
GROUNDNUTS PREPARED,580.0,26.8,49.2
PEANUT BUTTER,589.0,24.3,50.0
COCONUTS,184.0,1.7,17.4
COCONUTS DESICCATED,660.0,6.9,64.5
COPRA,636.0,6.0,61.4
OIL PALM FRUIT,158.0,0.3,13.2
PALM KERNELS,514.0,7.3,43.4
OLIVES,175.0,1.3,17.5
"OLIVES,PRESERVED",109.0,1.1,11.1
KARITE NUTS,579.0,6.8,49.0
SUNFLOWER SEED,308.0,12.3,26.8
RAPESEED,494.0,19.6,45.0
SAFFLOWER,314.0,9.7,30.3
SESAME SEED,573.0,17.7,49.7
CAKE OF SESAME SEED,376.0,40.7,3.4
MUSTARD SEED,469.0,24.9,28.8
FLOUR OF MUSTARD SEED,469.0,26.4,36.3
POPPY SEED,533.0,18.0,44.7
MELONSEED,400.0,18.2,33.9
COTTONSEED,253.0,17.3,17.9
LINSEED,498.0,18.0,34.0
OILSEEDS NES,387.0,14.7,31.7
FLOUR/MEAL OF OILSEEDS,393.0,37.2,15.6
CABBAGES,19.0,1.0,0.1
ARTICHOKES,20.0,1.1,0.1
ASPARAGUS,12.0,1.6,0.1
LETTUCE,12.0,1.1,0.2
SPINACH,16.0,2.1,0.3
CASSAVA LEAVES,53.0,5.8,1.1
TOMATOES,17.0,0.8,0.2
TOMATO JUICE,17.0,0.8,0.1
TOMATO JUICE CONCENTRATED,76.0,3.4,0.4
TOMATO PASTE,84.0,3.8,0.9
TOMATOES PEELED,19.0,0.9,0.2
CAULIFLOWER,9.0,0.8,0.1
"PUMPKINS, SQUASH, GOURDS",19.0,0.9,0.1
"CUCUMBERS, GHERINKS",13.0,0.5,0.1
"ONIONS,SHALLOTS, GREEN",24.0,1.7,0.1
"ONIONS, DRY",31.0,1.1,0.2
GARLIC,130.0,5.5,0.4
LEEKS,37.0,0.7,0.1
"BEANS, GREEN",50.0,3.0,0.4
"PEAS, GREEN",31.0,2.1,0.2
"BROAD BEANS,GREEN",23.0,2.3,0.1
STRING BEANS,27.0,1.6,0.1
CARROTS,38.0,0.9,0.2
OKRA,31.0,1.6,0.3
GREEN CORN,56.0,2.1,0.8
SWEET CORN FROZEN,54.0,1.8,0.4
SWEET CORN PREPARED,77.0,2.3,0.6
